NOMEEMPRESA,PORTE,MEI,CNPJ,DS_LOGRADOURO,DS_NUMERO,DS_COMPLEMENTO,NO_BAIRRO,NR_CEP,NO_MUNICIPIO,DS_ATIVIDADE
NAME00003883,ME,,36408656388300,ALTO BALEEIRA,SN,3542-3130,ZONA RURAL,29295000.0,VARGEM ALTA,EXTRAÇÃO DE MÁRMORE E BENEFICIAMENTO ASSOCIADO
NAME00003884,EPP,,36408656388400,RUA Arnóbio Pimentel,128,,Centro Empresarial,29192505.0,ARACRUZ,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003885,ME,N,36408656388500,AVENIDA LOURIVAL NUNES,488,,JARDIM LIMOEIRO,29164050.0,SERRA,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS"
NAME00003886,ME,N,36408656388600,AVENIDA NOSSA SENHORA DA PENHA,595,LOJA 31,SANTA LÚCIA,29056245.0,VITÓRIA,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00003887,ME,N,36408656388700,AV MAURO MIRANDA MADUREIRA,297,: BAIRRO VALAO ;,ELPIDIO VOLPINI,29309712.0,CACHOEIRO DE ITAPEMIRIM,"FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE MEDIDA, TESTE E CONTROLE"
NAME00003888,ME,N,36408656388800,AVENIDA JOSE BASILIO DOS SANTOS,316,,VILA DE ITAUNAS,29965000.0,CONCEIÇÃO DA BARRA,HOTÉIS
NAME00003889,EPP,,36408656388900,R EUCLIDES BAZONI,SN,GALPAO: 01;,SAO JOAQUIM,29314845.0,CACHOEIRO DE ITAPEMIRIM,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS"
NAME00003890,ME,N,36408656389000,AVENIDA ALBERTO DOS REIS CASTRO,345,,CENTRO,29970000.0,PEDRO CANÁRIO,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS
NAME00003891,ME,,36408656389100,RUA WELLINGTON BONI DE SOUZA,140,LOTES 1 E 2,SANTA TEREZA,29026878.0,VITÓRIA,RECUPERAÇÃO DE MATERIAIS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00003892,EPP,N,36408656389200,RUA PRIMO BOTTONI,17,,GUARANA,29195442.0,ARACRUZ,SERVIÇOS DE OPERAÇÃO E FORNECIMENTO DE EQUIPAMENTOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS E PESSOAS PARA USO EM OBRAS
NAME00003893,ME,,36408656389300,RUA DOUTOR AZAMBUJA,7,ED. CELESTE LOJA 01,CENTRO,29015070.0,VITÓRIA,LIMPEZA EM PRÉDIOS E EM DOMICÍLIOS
NAME00003894,ME,,36408656389400,RUA Edison Pompermayer,109,ANDAR 2;SALA 101;,Rosário de Fátima,29161103.0,SERRA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA
NAME00003895,ME,,36408656389500,RUA ELOY FERREIRA DA SILVA,98,,PADRE GABRIEL,29141849.0,CARIACICA,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00003896,ME,N,36408656389600,RUA HORACIO DIAS DOS SANTOS,256,,SANTO ANTONIO,29026015.0,VITÓRIA,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
NAME00003897,EPP,N,36408656389700,RUA Amphilóquio de Moreno,347,,Centro,29330000.0,ITAPEMIRIM,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003898,ME,,36408656389800,RUA GETULIO VARGAS,285,LOJA 10,GLORIA,29122030.0,VILA VELHA,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM
NAME00003899,ME,N,36408656389900,AV. PAULINO  MULLER,430,LOJA 03 EDF ROSA EDIGIO LIMA,ILHA DE SANTA MARIA,29051030.0,VITÓRIA,COMÉRCIO VAREJISTA DE ARMAS E MUNIÇÕES
NAME00003900,ME,,36408656390000,RUA ENGENHEIRO GUILHERME JOSÉ MONJARDIM VAREJÃO,385,LOJA 01;,ENSEADA DO SUÁ,29050260.0,VITÓRIA,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS NÃO ESPECIFICADAS ANTERIORMENTE"
NAME00003901,ME,,36408656390100,ROD JOAO RICARDO SCHORLING,1151,,CENTRO,29260000.0,DOMINGOS MARTINS,ADMINISTRAÇÃO DE OBRAS
NAME00003902,ME,N,36408656390200,RUA SAMUEL LEVY,12, A 14,AQUIDABAN,29308182.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES"
NAME00003903,ME,N,36408656390300,AVENIDA RUBENS RANGEL,304,,ILMENITA,29345000.0,MARATAÍZES,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003904,ME,N,36408656390400,RUA PRESIDENTE KENNEDY,92,,BELA VISTA,29192012.0,ARACRUZ,FABRICAÇÃO DE CONSERVAS DE FRUTAS
NAME00003905,EPP,N,36408656390500,RUA Moacyr Saudino,300,BOX 138;,Centro,29240000.0,ALFREDO CHAVES,SERVIÇOS DE ENGENHARIA
NAME00003906,ME,,36408656390600,RUA GOIAS,131,102,ITAPUA,29101580.0,VILA VELHA,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE TÊXTEIS, VESTUÁRIO, CALÇADOS E ARTIGOS DE VIAGEM"
NAME00003907,ME,N,36408656390700,RODOVIA CARLOS LINDEMBERG,5374,LOJA 01,ALECRIM,29118020.0,VILA VELHA,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES
NAME00003908,ME,S,36408656390800,AV. ALBERTO RAMALHETE COUTINHO,1566,LOJA/BOX 62,PRAIA DO MORRO,29216010.0,GUARAPARI,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS"
NAME00003909,ME,,36408656390900,AVENIDA JONES DOS SANTOS NEVES,529,MERCADO MUNICIPAL BOX 18,CENTRO,29930015.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES
NAME00003910,ME,,36408656391000,RUA BAIXO GUANDU,18,TERREO,RIVEIRA DA BARRA,29126072.0,VILA VELHA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL"
NAME00003911,ME,N,36408656391100,RUA IRENE TERESINHA GRECHI BASÍLIO,97,,PARQUE JACARAÍPE,29175500.0,SERRA,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS
NAME00003912,ME,N,36408656391200,RUA DOM PEDRO II,1311,LOJA 2,CRUZEIRO DO SUL,29144080.0,CARIACICA,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES
NAME00003913,ME,,36408656391300,RUA JAIR ANDRADE,244,SL 201,ITAPOA,29101700.0,VILA VELHA,OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO ESPECIALIZADO EM PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00003914,ME,N,36408656391400,RUA FELIPE DOS SANTOS,SN,FUNDOS: BR 259;,VILA KENNEDY,29730000.0,BAIXO GUANDU,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS
NAME00003915,ME,,36408656391500,RUA SANTANA DO IAPO,397,1° ANDAR,MUQUIÇABA,29215020.0,GUARAPARI,ENSINO DE IDIOMAS
NAME00003916,ME,S,36408656391600,RUA EMILIO MARINS,148,TERREO,TRIANGULO,29500000.0,ALEGRE,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
NAME00003917,ME,,36408656391700,RODOVIA GUMERCINDO MOURA NUNES,SN,KM 10,VARGEM GRANDE DE SOTURNO,29321000.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS
NAME00003918,ME,,36408656391800,PRACA ETELVINO NUNES DE MORAIS,S/N,TRAILLER,CENTRO,29560000.0,GUAÇUÍ,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO
NAME00003919,ME,,36408656391900,PRAÇA TEOFILO LOBO,16,,CENTRO,29470000.0,SÃO JOSÉ DO CALÇADO,COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO
NAME00003920,ME,,36408656392000,RUA JOSE TEIXEIRA,918,CASA TERREO SALA 201,SANTA LUCIA,29056035.0,VITÓRIA,ENSINO DE DANÇA
NAME00003921,ME,,36408656392100,RUA DOIS B,SN,"SALA 1,TERREO",CIVIT |,29168030.0,SERRA,LIMPEZA EM PRÉDIOS E EM DOMICÍLIOS
NAME00003922,ME,N,36408656392200,AVENIDA Champagnat,620,EDIF SHOP CENT VILA VELHA;SALA 102;,Centro,29100010.0,VILA VELHA,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO
NAME00003923,ME,N,36408656392300,RUA DOS JURITIS,2,A,EURICO SALLES,29160230.0,SERRA,ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO
NAME00003924,EPP,N,36408656392400,RUA SANTA TEREZINHA,329, A,GLÓRIA,29122041.0,VILA VELHA,COMÉRCIO VAREJISTA DE CALÇADOS
NAME00003925,ME,,36408656392500,AV. VITORIA ED. FERREIRA CASTRO,1973,SALA 204,NAZARETH,29041230.0,VITÓRIA,"PORTAIS, PROVEDORES DE CONTEÚDO E OUTROS SERVIÇOS DE INFORMAÇÃO NA INTERNET"
NAME00003926,ME,N,36408656392600,AVENIDA JOÃO SANTOS FILHO,443,LOJA 01,ILHA DE SANTA MARIA,29051147.0,VITÓRIA,COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO
NAME00003927,ME,,36408656392700,RUA CAIS DE SÃO FRANCISCO,91,1 PAV,CENTRO,29010680.0,VITÓRIA,HOTÉIS
NAME00003928,EPP,N,36408656392800,RUA 07 DE SETEMBRO,150,,SERRA PELADA,29603000.0,AFONSO CLÁUDIO,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00003929,ME,,36408656392900,RUA GILDA BONADIMAN,10,,SAO FRANCISCO,29145430.0,CARIACICA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL"
NAME00003930,EPP,N,36408656393000,AV HENRIQUE MOSCOSO,1023,SALA: 201;,CENTRO DE VILA VELHA,29100021.0,VILA VELHA,CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS
NAME00003931,ME,,36408656393100,AV SANTA CRUZ,218,LOJA,JABARAI,29220400.0,GUARAPARI,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00003932,ME,N,36408656393200,RODOVIA SERAFIM DERENZI,4435,,SÃO JOSÉ,29031800.0,VITÓRIA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003933,EPP,,36408656393300,AVENIDA PRINCESA ISABEL,15,SALA 1007;,CENTRO,29010905.0,VITÓRIA,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL
NAME00003934,EPP,N,36408656393400,RODOVIA GOVERNADOR MÁRIO COVAS,SN,KM 134 SALA B,CANIVETE,29909025.0,LINHARES,TRANSPORTE RODOVIÁRIO DE PRODUTOS PERIGOSOS
NAME00003935,ME,N,36408656393500,RUA VINTE E UM,54,ANDAR: 2,SANTA MONICA POPULAR,29105410.0,VILA VELHA,IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO
NAME00003936,EPP,N,36408656393600,RUA BAIXO GUANDÚ,13,,JARDIM BOTÂNICO,29142619.0,CARIACICA,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA SANEAMENTO BÁSICO E AMBIENTAL, PEÇAS E ACESSÓRIOS"
NAME00003937,ME,,36408656393700,AVENIDA FRANCISCO GENEROSO DA FONSECA,690,LOJA 02,JARDIM DA PENHA,29060140.0,VITÓRIA,CASAS LOTÉRICAS
NAME00003938,ME,N,36408656393800,RUA JOÃO SACANI,S/Nº,,SANTO ANTONIO,29185000.0,FUNDÃO,SERVIÇOS DE ENGENHARIA
NAME00003939,EPP,N,36408656393900,RUA ESPIRITO SANTO,155,,ROSARIO DE FATIMA,29161123.0,SERRA,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
NAME00003940,EPP,N,36408656394000,AV CENTRAL,SN,,JARDIM LIMOEIRO,29164853.0,SERRA,FABRICAÇÃO DE BISCOITOS E BOLACHAS
NAME00003941,ME,,36408656394100,RUA JOSE GOMES LORETO,22,LOJA 01,GOIABEIRAS,29750090.0,VITÓRIA,"COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO"
NAME00003942,ME,N,36408656394200,AV PRESIDENTE VARGAS,782,,CENTRO,29260000.0,DOMINGOS MARTINS,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
NAME00003943,EPP,N,36408656394300,AVENIDA JONES DOS SANTOS NEVES,735,,SERNAMBY,29930445.0,SÃO MATEUS,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES"
NAME00003944,EPP,,36408656394400,PCA JOAO XXIII,562,,CENTRO,29750000.0,PANCAS,COMÉRCIO VAREJISTA DE MÓVEIS
NAME00003945,ME,,36408656394500,ROD BR 262,S/N,,PARQUE INDUSTRIAL,29135000.0,VIANA,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS"
NAME00003946,ME,,36408656394600,ROD. FUED NEMER,1695,,ESPLANADA,29360000.0,CASTELO,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
NAME00003947,ME,,36408656394700,RUA JULIETA MARIA FISHER,56,,VILA DAS ORQUIDEAS,29255000.0,MARECHAL FLORIANO,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS
NAME00003948,ME,,36408656394800,RUA FORTUNATO RAMOS,116,SALA 401 E 404,SANTA LUCIA,29056020.0,VITÓRIA,AGÊNCIAS DE VIAGENS
NAME00003949,ME,,36408656394900,AV FERNANDO FERRARI,2213,SL 302 3 ANDAR,GOIABEIRAS,29060410.0,VITÓRIA,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00003950,ME,N,36408656395000,AVENIDA 13 DE MAIO,673,,SEDE - CENTRO,29750000.0,PANCAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003951,EPP,,36408656395100,RUA HUMBERTO DE CAMPOS,998,,SAO DIOGO,29163190.0,SERRA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00003952,ME,N,36408656395200,RUA DICO BERNARDO,55,,CANÁRIO,29980000.0,PINHEIROS,COMÉRCIO VAREJISTA DE GÁS LIQÜEFEITO DE PETRÓLEO (GLP)
NAME00003953,ME,N,36408656395300,RUA DAVID TOREZANI,35,,VILA LENIRA,29702310.0,COLATINA,"CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA"
NAME00003954,ME,S,36408656395400,AVENIDA SANTO ANTONIO,220,PAVMTO1,CARATOIRA,29025645.0,VITÓRIA,"COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO"
NAME00003955,EPP,,36408656395500,RUA JERÔNIMO RIBEIRO,453,,AMARELO,29304642.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00003956,EPP,N,36408656395600,AVENIDA CARLOS DE MEDEIROS,819,,CENTRO,29730000.0,BAIXO GUANDU,COMÉRCIO VAREJISTA DE CALÇADOS
NAME00003957,EPP,N,36408656395700,RUA JUDITH LEAO CASTELO RIBEIRO,523,,CENTRO,29730000.0,BAIXO GUANDU,FABRICAÇÃO DE SORVETES E OUTROS GELADOS COMESTÍVEIS
NAME00003958,ME,S,36408656395800,RUA DO CONVIVIO SEBASTIAO DE MORAES,44,,CENTRO,29360000.0,CASTELO,COMÉRCIO VAREJISTA DE TECIDOS
NAME00003959,ME,,36408656395900,AV DOM PEDRO II,542,"APT 101, ED ALESSANDRA",GLORIA,29122300.0,VILA VELHA,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE TÊXTEIS, VESTUÁRIO, CALÇADOS E ARTIGOS DE VIAGEM"
NAME00003960,ME,N,36408656396000,AV REGIAO NORDESTE 110,,,BARCELONA,29166200.0,SERRA,COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS; PEÇAS E ACESSÓRIOS
NAME00003961,ME,,36408656396100,AVENIDA LUIZ ROSSATO,228,,JACUPEMBA,29196085.0,ARACRUZ,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00003962,EPP,N,36408656396200,RUA MANOEL FONSECA,15,,FERROVIÁRIOS,29308010.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00003963,ME,N,36408656396300,R CABO AYLSON SIMOES,280,: 2;,CENTRO DE VILA VELHA,29100320.0,VILA VELHA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003964,ME,N,36408656396400,RUA JOAO FRANCISCO CALMON,1361,LOJA 2,CENTRO,29900140.0,LINHARES,COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS
NAME00003965,ME,,36408656396500,AVENIDA SILVIO AVIDOS,1299,C,SAO SILVANO,29703147.0,COLATINA,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL"
NAME00003966,EPP,,36408656396600,AVENIDA Abido Saadi,SN,,São Francisco,29175234.0,SERRA,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS
NAME00003967,ME,,36408656396700,RUA JOSE VICENTE DIAS,8,,BOM PASTOR,29310805.0,CACHOEIRO DE ITAPEMIRIM,CONSTRUÇÃO DE EDIFÍCIOS
NAME00003968,EPP,N,36408656396800,RUA VICENTE CELESTINO,39,,CAMPO GRANDE,29146450.0,CARIACICA,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
NAME00003969,ME,N,36408656396900,RUA LINHARES,2,LOJA 01,VILA CAPIXABA,29148180.0,CARIACICA,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE
NAME00003970,ME,,36408656397000,RUA AFREU COUTINHO,55,SOBRELOJA,ARIBIRI,29120420.0,VILA VELHA,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO
NAME00003971,EPP,,36408656397100,AV FREDERICO GRULKE,1335,,CENTRO,29645000.0,SANTA MARIA DE JETIBÁ,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
NAME00003972,ME,N,36408656397200,AVENIDA BERTOLO MALACARNE,58,,GLÓRIA,29780000.0,SÃO GABRIEL DA PALHA,SERVIÇOS ADVOCATÍCIOS
NAME00003973,ME,,36408656397300,RUA RODRIGUES SOARES,SN,,IBC,29300000.0,CACHOEIRO DE ITAPEMIRIM,TRANSPORTE RODOVIÁRIO DE CARGA
NAME00003974,ME,,36408656397400,RUA Osmar Andrade Ayres,532A,,Guriri Sul,29945020.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00003975,EPP,,36408656397500,ROD BR 101 NORTE,1851,,VILA NOVA,29941010.0,SÃO MATEUS,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
NAME00003976,ME,,36408656397600,RUA CRISTOVAO COLOMBO,420,LOJA 01,CRISTOVAO COLOMBO,29106050.0,VILA VELHA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria
NAME00003977,EPP,N,36408656397700,AV CENTRAL,790,,PARQUE RES. LARANJEIRAS,29165130.0,SERRA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00003978,ME,,36408656397800,RUA VILA VELHA,173,,NOVA BRASILIA,29149402.0,CARIACICA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00003979,ME,S,36408656397900,AV PRESIDENTE VARGAS,232,,Centro,29770000.0,MANTENÓPOLIS,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
NAME00003980,EPP,N,36408656398000,RUA MACADÂMIA,160,,CAMPO BELO,29143018.0,CARIACICA,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00003981,ME,N,36408656398100,RUA FRANCISCO LOPES NOGUEIRA,20,,TABUAZEIRO,29043417.0,VITÓRIA,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA"
NAME00003982,ME,N,36408656398200,AVENIDA AMAZONAS,17,,ITAPEMIRIM,29142792.0,CARIACICA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL"
NAME00003983,ME,N,36408656398300,RUA ANTONIO ROATTI,57,,CENTRO,29650000.0,SANTA TERESA,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO"
NAME00003984,ME,N,36408656398400,RUA BASILIO DA GAMA,56,LOTE CHACARA 146 E 147,JARDIM LIMOEIRO,29164083.0,SERRA,RESTAURANTES E SIMILARES
NAME00003985,EPP,N,36408656398500,RUA ANTONIO BAZONI,SN,,VARGEM GRANDE SOTURNO,29321000.0,CACHOEIRO DE ITAPEMIRIM,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS"
NAME00003986,ME,,36408656398600,AVENIDA DOUTOR ARISTIDES CAMPOS,476,,CAMPO LEOPOLDINA,29305360.0,CACHOEIRO DE ITAPEMIRIM,LAVANDERIAS
NAME00003987,ME,,36408656398700,AV ARISTIDES CAMPOS,151,FONE 35223740,GILBERTO MACHADO,29312300.0,CACHOEIRO DE ITAPEMIRIM,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A PROSPECÇÃO E EXTRAÇÃO DE PETRÓLEO, PEÇAS E ACESSÓRIOS"
NAME00003988,EPP,N,36408656398800,AVENIDA JONES DOS SANTOS NEVES,1342,,IRMAOS FERNANDES,29800000.0,BARRA DE SÃO FRANCISCO,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS
NAME00003989,ME,,36408656398900,AV MANOEL MARQUES,158,,SAO CRISTOVAO,29048490.0,VITÓRIA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00003990,EPP,,36408656399000,RUA DA CONCEICAO,806,LJ A,CENTRO,29900320.0,LINHARES,COMÉRCIO VAREJISTA DE TECIDOS
NAME00003991,EPP,,36408656399100,RUA OCTAVIANO SANTOS,261,,CENTRO,29260000.0,DOMINGOS MARTINS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00003992,ME,,36408656399200,RUA VINICIUS DE MORAES,17,,CRUZEIRO DO SUL,29144011.0,CARIACICA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL"
NAME00003993,ME,N,36408656399300,RUA ALTINO GOMES LUZ,397,,SERNAMBY,29930470.0,SÃO MATEUS,"AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE, EXCETO EM VEÍCULOS DE COMUNICAÇÃO"
NAME00003994,ME,N,36408656399400,RUA VERDE MAR,25,,BICANGA,29164809.0,SERRA,"ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO, EXCETO ANDAIMES"
NAME00003995,EPP,,36408656399500,RUA CASTELO,699,,JARDIM LIMOEIRO,29164030.0,SERRA,FABRICAÇÃO DE ESQUADRIAS DE METAL
NAME00003996,EPP,N,36408656399600,R MONSENHOR PEDRINHA,665,,ARACA,29901443.0,LINHARES,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA
NAME00003997,EPP,N,36408656399700,AV. CRISTIANO DIAS LOPES,1,1º ANDAR,GILBERTO MACHADO,29303320.0,CACHOEIRO DE ITAPEMIRIM,OUTRAS ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA NÃO ESPECIFICADAS ANTERIORMENTE
NAME00003998,ME,,36408656399800,RUA SAO MATEUS,SN,LOTE 4 QD 74,MAR AZUL,29198251.0,ARACRUZ,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
NAME00003999,ME,N,36408656399900,RUA TOCANTINS,13,,JARDIM BOA VISTA,29217060.0,GUARAPARI,CONSTRUÇÃO DE EDIFÍCIOS
NAME00004000,EPP,,36408656400000,AVENIDA MARCOS DE AZEVEDO,299,"TERREO FUNDOS, SALA 101 E 102",PARQUE MOSCOSO,29018035.0,VITÓRIA,IMPRESSÃO DE MATERIAL PARA OUTROS USOS
NAME00004001,EPP,,36408656400100,RODOVIA BR 101 NORTE,S/N,"KM 163,5",RIO QUARTEL,29900983.0,LINHARES,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS
NAME00004002,ME,,36408656400200,RUA CLARICIO ALVES RIBEIRO,20,TERREO E FUNDOS,ITANGUA,29149800.0,CARIACICA,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS
NAME00004003,ME,N,36408656400300,AVENIDA ALPHEU RIBEIRO,640,LOJA 01,CARAPINA GRANDE,29160065.0,SERRA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
